afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:26211 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:50:49,696 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:50:51,311 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1636.93ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:50:57,970 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:50:59,584 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1637.60ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:38456 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:06,251 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:07,862 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1640.95ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:33422 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:13,412 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:15,029 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1643.65ms (threshold: 1000ms)
afo-soul-engine  | INFO:     127.0.0.1:53988 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:63136 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:21,683 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:23,295 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1639.43ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:31772 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:29,954 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:31,570 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1640.07ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:38,232 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:39,846 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1639.79ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:62753 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:45,405 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:47,029 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1662.30ms (threshold: 1000ms)
afo-soul-engine  | INFO:     127.0.0.1:47044 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:31033 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:51:53,683 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:51:55,294 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1638.62ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:25347 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:01,947 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:52:03,563 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1646.23ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:54029 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:10,219 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
